split,method,K,hit,mrr,ndcg,n_examples,n_with_relevant,family,layers,decay,teleport
val,prop_appnp_s8_a0p3,50,0.05541810984661059,0.01685256007387626,0.023214044760530034,2021,280,appnp,8,,0.3
val,prop_appnp_s8_a0p3,100,0.06828302820385948,0.017025635129554524,0.025241419051800888,2021,280,appnp,8,,0.3
test,prop_appnp_s8_a0p3,10,0.025342118601115054,0.010588983016757978,0.012447258321928709,1973,279,appnp,8,,0.3
test,prop_appnp_s8_a0p3,50,0.050177394830207805,0.011818248299482416,0.017287496985351498,1973,279,appnp,8,,0.3
test,prop_appnp_s8_a0p3,100,0.07095793208312215,0.012118326754947662,0.0209699736673358,1973,279,appnp,8,,0.3
val,prop_appnp_s12_a0p05,10,0.022761009401286492,0.0135733528113538,0.014689283785351547,2021,280,appnp,12,,0.05
val,prop_appnp_s12_a0p05,50,0.0450272142503711,0.014661312078802172,0.019490161261180538,2021,280,appnp,12,,0.05
val,prop_appnp_s12_a0p05,100,0.0628401781296388,0.014915060708082604,0.022296657984151817,2021,280,appnp,12,,0.05
test,prop_appnp_s12_a0p05,10,0.022301064368981247,0.009529239977795477,0.01093737146597386,1973,279,appnp,12,,0.05
test,prop_appnp_s12_a0p05,50,0.05321844906234161,0.010877882172312775,0.01725096895892836,1973,279,appnp,12,,0.05
test,prop_appnp_s12_a0p05,100,0.06436898124683224,0.01103792452544715,0.019443915300128067,1973,279,appnp,12,,0.05
val,prop_appnp_s12_a0p1,10,0.027214250371103414,0.014158086127408246,0.016030349560285664,2021,280,appnp,12,,0.1
val,prop_appnp_s12_a0p1,50,0.05195447798119743,0.015304756452667987,0.02138794066985039,2021,280,appnp,12,,0.1
val,prop_appnp_s12_a0p1,100,0.0653142008906482,0.01549246256709034,0.023583327597895613,2021,280,appnp,12,,0.1
test,prop_appnp_s12_a0p1,10,0.025342118601115054,0.010915212511765983,0.012794239655513417,1973,279,appnp,12,,0.1
test,prop_appnp_s12_a0p1,50,0.05473897617840851,0.01215110259965716,0.018497797626897374,1973,279,appnp,12,,0.1
test,prop_appnp_s12_a0p1,100,0.06994424733907754,0.01236900088123164,0.021280990691033955,1973,279,appnp,12,,0.1
val,prop_appnp_s12_a0p2,10,0.029688273132112815,0.015010053171854259,0.017319981885846686,2021,280,appnp,12,,0.2
val,prop_appnp_s12_a0p2,50,0.05541810984661059,0.01620693407284969,0.02284236765212607,2021,280,appnp,12,,0.2
val,prop_appnp_s12_a0p2,100,0.06630380999505195,0.01636094686086163,0.024623149004910118,2021,280,appnp,12,,0.2
test,prop_appnp_s12_a0p2,10,0.02483527622909275,0.01203750633552965,0.01344037338462911,1973,279,appnp,12,,0.2
test,prop_appnp_s12_a0p2,50,0.051697921946274705,0.013284893721077858,0.018595481986745294,1973,279,appnp,12,,0.2
test,prop_appnp_s12_a0p2,100,0.06893056259503294,0.013545130214306672,0.021782972442263314,1973,279,appnp,12,,0.2
val,prop_appnp_s12_a0p3,10,0.033151904997525974,0.015846508486290774,0.018524298066485454,2021,280,appnp,12,,0.3
val,prop_appnp_s12_a0p3,50,0.05591291439881247,0.016849712327310615,0.023289951685009018,2021,280,appnp,12,,0.3
val,prop_appnp_s12_a0p3,100,0.06828302820385948,0.01701173812592369,0.025228487040998226,2021,280,appnp,12,,0.3
test,prop_appnp_s12_a0p3,10,0.025342118601115054,0.010581943539368779,0.012442772408681014,1973,279,appnp,12,,0.3
test,prop_appnp_s12_a0p3,50,0.0496705524581855,0.011804955959044688,0.017198075135580377,1973,279,appnp,12,,0.3
test,prop_appnp_s12_a0p3,100,0.07045108971109985,0.01210959601595232,0.02084618430484954,1973,279,appnp,12,,0.3
