split,method,K,hit,mrr,ndcg,n_examples,n_with_relevant,alpha,transformer,graph_method
val,fusion_author_retriever_graphsage_author_metacluster_a0p20,10,0.030183077684314694,0.013313384070435036,0.016019356179158444,2021,280,0.2,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p20,50,0.05492330529440871,0.014380126543225815,0.021274533938752747,2021,280,0.2,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p20,100,0.06729341909945571,0.0145592682131599,0.023218926896763394,2021,280,0.2,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p20,10,0.019766852508869743,0.007173026331667994,0.008707366019860661,1973,279,0.2,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p20,50,0.0476431829700963,0.008507408422137588,0.014354580716911886,1973,279,0.2,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p20,100,0.06183476938672073,0.008720497770437242,0.016569140698472058,1973,279,0.2,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p25,10,0.030677882236516577,0.013362864525655223,0.016101633909397353,2021,280,0.25,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p25,50,0.05442850074220683,0.014377664620814093,0.021186872266210587,2021,280,0.25,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p25,100,0.06729341909945571,0.014565489633813315,0.023215608302467685,2021,280,0.25,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p25,10,0.019766852508869743,0.0071700094127869094,0.008700022600068448,1973,279,0.25,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p25,50,0.047136340598074,0.00851269807654242,0.014309702689588791,1973,279,0.25,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p25,100,0.06183476938672073,0.00873429558589138,0.016539993039334334,1973,279,0.25,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p30,10,0.030677882236516577,0.013187523071244,0.015976650517407043,2021,280,0.3,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p30,50,0.05442850074220683,0.014192022145447727,0.021047777521761596,2021,280,0.3,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p30,100,0.06729341909945571,0.014377935760063168,0.0230722643935662,2021,280,0.3,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p30,10,0.02027369488089204,0.0072086259744647985,0.008834939464003166,1973,279,0.3,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p30,50,0.047136340598074,0.00850445756242331,0.014302204755152762,1973,279,0.3,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p30,100,0.06183476938672073,0.008722552922746115,0.016525095012508376,1973,279,0.3,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p35,10,0.030677882236516577,0.0131985187279596,0.01599173605069612,2021,280,0.35,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p35,50,0.05442850074220683,0.01419970933740154,0.021101891303795608,2021,280,0.35,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p35,100,0.06679861454725383,0.014380035855303269,0.02300810771832373,2021,280,0.35,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p35,10,0.020780537252914344,0.0070030732347002,0.008814285916352133,1973,279,0.35,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p35,50,0.0476431829700963,0.008264313406263091,0.014324750440058924,1973,279,0.35,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p35,100,0.06132792701469843,0.008465570990740018,0.016337357097217876,1973,279,0.35,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p40,10,0.030677882236516577,0.013272150357751544,0.016047679295141372,2021,280,0.4,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p40,50,0.05541810984661059,0.014284643103704276,0.021289133408095292,2021,280,0.4,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p40,100,0.06679861454725383,0.01444372756215811,0.0230497369085559,2021,280,0.4,author_retriever,graphsage_author_metacluster
