method,level,variant,cluster_size,log10_cluster_size
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,70.0,1.845098040014257
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,456.0,2.658964842664435
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,472.0,2.673941998634088
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,382.0,2.582063362911709
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1611.0,3.207095540419218
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,471.0,2.673020907128896
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,846.0,2.9273703630390235
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,574.0,2.7589118923979736
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,627.0,2.7972675408307164
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,687.0,2.8369567370595505
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,319.0,2.503790683057181
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,276.0,2.4409090820652177
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,329.0,2.5171958979499744
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,709.0,2.8506462351830666
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,258.0,2.41161970596323
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,234.0,2.369215857410143
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,395.0,2.59659709562646
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,241.0,2.3820170425748683
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,979.0,2.9907826918031377
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1094.0,3.039017321997412
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,348.0,2.5415792439465807
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,302.0,2.4800069429571505
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,414.0,2.617000341120899
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,169.0,2.2278867046136734
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,588.0,2.7693773260761385
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,160.0,2.2041199826559246
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1050.0,3.0211892990699383
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1001.0,3.000434077479319
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,219.0,2.3404441148401185
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,832.0,2.920123326290724
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1073.0,3.030599721965951
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,291.0,2.4638929889859074
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,294.0,2.4683473304121573
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,481.0,2.682145076373832
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,584.0,2.7664128471123997
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,926.0,2.966610986681934
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,699.0,2.8444771757456815
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,350.0,2.5440680443502757
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1193.0,3.076640443670342
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,512.0,2.709269960975831
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,858.0,2.9334872878487053
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1083.0,3.0346284566253203
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,354.0,2.5490032620257876
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,118.0,2.0718820073061255
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,163.0,2.2121876044039577
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,159.0,2.2013971243204513
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,819.0,2.9132839017604186
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,18.0,1.255272505103306
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,729.0,2.8627275283179747
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,450.0,2.6532125137753435
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,261.0,2.416640507338281
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,475.0,2.6766936096248664
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,559.0,2.747411807886423
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,263.0,2.419955748489758
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,812.0,2.9095560292411755
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,806.0,2.906335041805091
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,406.0,2.6085260335771943
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,194.0,2.287801729930226
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,789.0,2.89707700320942
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,494.0,2.693726948923647
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,681.0,2.833147111912785
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,264.0,2.4216039268698313
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1799.0,3.2550311633455515
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,725.0,2.8603380065709936
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,45.0,1.6532125137753437
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,78.0,1.8920946026904804
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,498.0,2.6972293427597176
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,164.0,2.214843848047698
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,399.0,2.6009728956867484
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,589.0,2.7701152947871015
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,341.0,2.5327543789924976
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,210.0,2.322219294733919
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,443.0,2.6464037262230695
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,319.0,2.503790683057181
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,731.0,2.8639173769578603
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,456.0,2.658964842664435
